id,name,duration,description
1,"Light Cardio","5-10 minutes","Treadmill or stationary bike"
2,"Dynamic Stretching","5 minutes","Arm circles, shoulder rolls"
3,"Light Sets","2 sets","50% of working weight for 10 reps"
4,"Shoulder Mobility","5 minutes","Arm circles, band pull-aparts"
5,"Light Sets","2 sets","50% of working weight for 10 reps"
6,"Hip Mobility","5 minutes","Hip circles, leg swings"
7,"Light Sets","2 sets","50% of working weight for 10 reps"
8,"Mobility Work","10 minutes","Hip mobility, ankle mobility"
9,"Light Sets","3 sets","Progressive loading up to working weight"
10,"Shoulder Mobility","5 minutes","Arm circles, band pull-aparts"
11,"Light Sets","2 sets","50% of working weight for 10 reps"
12,"Hip Mobility","5 minutes","Hip circles, leg swings"
13,"Light Sets","2 sets","50% of working weight for 10 reps"
14,"Joint Mobility","5 minutes","Shoulder circles, wrist mobility"
15,"Light Cardio","5 minutes","Jumping jacks, high knees"
16,"Scapular Pull-ups","2 sets","10 reps to warm up back"
17,"Joint Mobility","5 minutes","Shoulder circles, wrist mobility"
18,"Light Sets","2 sets","Bodyweight variations for 5 reps"
19,"Weight Progression","3 sets","Gradually add weight up to working sets"
20,"Joint Mobility","5 minutes","Hip mobility, shoulder mobility"
21,"Dynamic Stretching","5 minutes","Hip circles, arm circles"
22,"Light Drilling","2 rounds","Basic movement patterns"
23,"Joint Mobility","5 minutes","Wrist mobility, shoulder mobility"
24,"Dynamic Stretching","5 minutes","Arm circles, hip rotations"
25,"Light Drilling","2 rounds","Basic movement patterns"
